solver,benchType,nodes,dims,file,buildTime,queryTime,wrapSize
heap,craft_var_dim,100000,2,0.in,0.024315,0.848464,16
heap,craft_var_dim,100000,2,1.in,0.022927,0.852767,16
heap,craft_var_dim,100000,2,2.in,0.022976,0.85131,16
heap,craft_var_dim,100000,3,0.in,0.021929,1.35128,16
heap,craft_var_dim,100000,3,1.in,0.021561,1.34297,16
heap,craft_var_dim,100000,3,2.in,0.021881,1.34973,16
heap,craft_var_dim,100000,5,0.in,0.022334,3.85715,16
heap,craft_var_dim,100000,5,1.in,0.022066,3.8525,16
heap,craft_var_dim,100000,5,2.in,0.021364,3.85761,16
heap,craft_var_dim,100000,7,0.in,0.022759,13.6143,16
heap,craft_var_dim,100000,7,1.in,0.02157,13.5968,16
heap,craft_var_dim,100000,7,2.in,0.02267,13.6129,16
heap,craft_var_dim,100000,9,0.in,0.023,55.4924,16
heap,craft_var_dim,100000,9,1.in,0.022631,55.3684,16
heap,craft_var_dim,100000,9,2.in,0.022117,55.3161,16
heap,craft_var_dim,100000,10,0.in,0.02264,80.0081,16
heap,craft_var_dim,100000,10,1.in,0.022725,80.0294,16
heap,craft_var_dim,100000,10,2.in,0.023414,79.9701,16
heap,craft_var_dim,100000,12,0.in,0.022541,113.609,16
heap,craft_var_dim,100000,12,1.in,0.023367,114.965,16
heap,craft_var_dim,100000,12,2.in,0.023318,115.548,16
heap,craft_var_dim,100000,15,0.in,0.023354,136.61,16
heap,craft_var_dim,100000,15,1.in,0.023223,138.758,16
heap,craft_var_dim,100000,15,2.in,0.02341,136.51,16
heap,craft_var_dim,100000,18,0.in,0.022721,156.395,16
heap,craft_var_dim,100000,18,1.in,0.022934,156.09,16
heap,craft_var_dim,100000,18,2.in,0.02346,156.499,16
heap,craft_var_dim,100000,20,0.in,0.025241,171.351,16
heap,craft_var_dim,100000,20,1.in,0.023181,170.614,16
heap,craft_var_dim,100000,20,2.in,0.024029,170.958,16
heap,craft_var_dim,100000,25,0.in,0.022977,198.454,16
heap,craft_var_dim,100000,25,1.in,0.02284,197.339,16
heap,craft_var_dim,100000,25,2.in,0.02269,198.199,16
heap,craft_var_node,10000,5,0.in,0.002462,0.27129,16
heap,craft_var_node,10000,5,1.in,0.002071,0.256071,16
heap,craft_var_node,10000,5,2.in,0.002112,0.259596,16
heap,craft_var_node,50000,5,0.in,0.010677,1.78919,16
heap,craft_var_node,50000,5,1.in,0.009984,1.77235,16
heap,craft_var_node,50000,5,2.in,0.010049,1.79961,16
heap,craft_var_node,100000,5,0.in,0.022445,3.83927,16
heap,craft_var_node,100000,5,1.in,0.022727,3.84205,16
heap,craft_var_node,100000,5,2.in,0.021453,3.85624,16
heap,craft_var_node,500000,5,0.in,0.130042,20.4363,16
heap,craft_var_node,500000,5,1.in,0.137653,20.405,16
heap,craft_var_node,500000,5,2.in,0.134264,20.4458,16
heap,craft_var_node,800000,5,0.in,0.237658,36.2211,16
heap,craft_var_node,800000,5,1.in,0.246833,35.6683,16
heap,craft_var_node,800000,5,2.in,0.243701,35.7644,16
heap,craft_var_node,1000000,5,0.in,0.283927,44.8887,16
heap,craft_var_node,1000000,5,1.in,0.283016,44.8391,16
heap,craft_var_node,1000000,5,2.in,0.288461,44.9094,16
heap,craft_var_node,2000000,5,0.in,0.607522,100.613,16
heap,craft_var_node,2000000,5,1.in,0.633098,100.004,16
heap,craft_var_node,2000000,5,2.in,0.63629,100.67,16
