solver,benchType,nodes,dims,inba_ratios,build,aveDepth,insert_0.0001,insert_0.001,insert_0.01,insert_0.1,delete_0.0001,delete_0.001,delete_0.01,delete_0.1,k,depth,visNum,rangeQuery
test,uniform,1000000000,2,3,3.14381,25.5227,2.85349,3.03023,2.9539,3.39795,3.34757,3.35595,3.45864,3.6751,0.382002,25.5227,32,0.476646
test,uniform,1000000000,2,10,3.14494,25.5227,0.447915,0.521358,0.685781,1.15522,0.551677,0.662248,0.776326,1.1486,0.379445,25.5227,32,0.474491
test,uniform,1000000000,2,30,3.02688,25.5227,0.00299433,0.021319,0.109112,0.525924,0.003307,0.0225647,0.125415,0.564608,0.382372,25.5227,32,0.477792
test,ss_varden,1000000000,2,3,3.64458,25.5372,2.71967,2.62678,2.81035,3.70916,11.1294,8.2184,7.79288,4.75816,0.184135,25.5372,32,0.489756
test,ss_varden,1000000000,2,10,3.50798,25.5372,0.35261,0.345639,0.484557,1.36327,2.27509,1.96065,2.09021,1.39676,0.185822,25.5372,32,0.487763
test,ss_varden,1000000000,2,30,3.6442,25.5372,0.00196733,0.00734867,0.0606003,0.517707,0.00154367,0.006398,0.0539343,0.516102,0.184291,25.5372,32,0.498252
test,uniform,1000000000,3,3,4.03985,25.5247,3.97464,4.1113,4.23246,4.82267,4.44083,4.57913,4.60141,4.669,0.834275,25.5247,46,0.875171
test,uniform,1000000000,3,10,4.13901,25.5247,0.604709,0.735939,0.799061,1.51643,0.697079,0.834707,0.985835,1.39875,0.830418,25.5247,46,0.86904
test,uniform,1000000000,3,30,4.18974,25.5247,0.00304433,0.0210507,0.1096,0.576921,0.00565067,0.0254627,0.140056,0.639579,0.832789,25.5247,46,0.870094
test,ss_varden,1000000000,3,3,4.95941,25.524,3.12455,2.96488,3.04932,4.72776,11.8191,11.8114,10.6907,4.59664,0.207481,25.524,43,0.871409
test,ss_varden,1000000000,3,10,5.04098,25.524,0.401143,0.659357,0.690361,2.21132,2.23391,2.36155,2.09365,2.49638,0.208095,25.524,43,0.878819
test,ss_varden,1000000000,3,30,5.24226,25.524,0.00311867,0.0129823,0.114767,0.774166,0.00620533,0.015572,0.0882917,0.637485,0.207541,25.524,43,0.880547
test,uniform,1000000000,5,3,5.41334,25.5239,6.03238,6.09643,6.05402,6.61699,6.43909,6.49568,6.65867,6.86381,4.619,25.5239,151,2.77379
test,uniform,1000000000,5,10,5.86663,25.5239,1.09895,1.1316,1.35582,2.08278,1.20362,1.40531,1.5196,2.17115,4.61971,25.5239,151,2.76947
test,uniform,1000000000,5,30,5.774,25.5239,0.00676367,0.0282133,0.127846,0.694792,0.00795667,0.0325117,0.172484,0.850846,4.61617,25.5239,151,2.75789
test,ss_varden,1000000000,5,3,6.51797,25.5215,3.64116,3.69389,4.21371,7.93408,10.9717,10.9591,10.934,6.90331,0.331899,25.5215,55,2.87453
test,ss_varden,1000000000,5,10,5.8658,25.5215,0.635551,0.6288,0.977652,3.12618,2.40213,2.455,2.65487,3.28948,0.331214,25.5215,55,2.92138
test,ss_varden,1000000000,5,30,6.42279,25.5215,0.00668767,0.019991,0.154923,1.35762,0.0110613,0.0198677,0.161749,1.17997,0.333193,25.5215,55,2.96794
test,uniform,1000000000,9,3,9.9347,25.5201,9.74588,10.3605,10.2728,11.3704,10.5971,10.7691,10.8671,11.271,109.016,25.5201,2167,17.832
test,uniform,1000000000,9,10,9.92631,25.5201,1.52228,1.8911,1.97195,2.9701,1.6125,1.943,2.19004,3.09761,109.556,25.5201,2167,17.6013
test,uniform,1000000000,9,30,9.77858,25.5201,0.00796567,0.0294103,0.148305,0.990257,0.006982,0.0400077,0.237994,1.27818,109.878,25.5201,2167,17.4529
test,ss_varden,1000000000,9,3,10.8869,25.5247,9.45853,9.28578,9.65072,15.3979,19.1176,19.204,20.5011,12.8331,0.440761,25.5247,54,12.015
test,ss_varden,1000000000,9,10,11.2916,25.5247,1.15732,1.12073,1.83341,5.0249,3.55281,3.61992,4.11039,5.18822,0.44104,25.5247,54,12.2917
test,ss_varden,1000000000,9,30,10.8948,25.5247,0.00704467,0.029074,0.250265,2.14356,0.011213,0.0285783,0.198344,1.93146,0.440473,25.5247,54,12.3519
