solver,benchType,nodes,dims,file,buildTime,queryTime,aveDeep,aveQueryVisNodeNum
zdtree,ss_varden,10000000,3,1.in,0.0490277,2.25996,-1,-1
zdtree,ss_varden,10000000,3,2.in,0.0512277,1.84937,-1,-1
zdtree,ss_varden,50000000,3,1.in,0.248945,7.54793,-1,-1
zdtree,ss_varden,50000000,3,2.in,0.248298,7.73828,-1,-1
zdtree,ss_varden,100000000,3,1.in,0.498893,15.1135,-1,-1
zdtree,ss_varden,100000000,3,2.in,0.496899,15.2842,-1,-1
zdtree,ss_varden,500000000,3,1.in,2.50298,80.0494,-1,-1
zdtree,ss_varden,500000000,3,2.in,2.53205,79.3074,-1,-1
zdtree,uniform,10000000,3,1.in,0.0562777,1.79358,-1,-1
zdtree,uniform,10000000,3,2.in,0.0540823,1.80038,-1,-1
zdtree,uniform,50000000,3,1.in,0.270578,8.62751,-1,-1
zdtree,uniform,50000000,3,2.in,0.266452,8.65808,-1,-1
zdtree,uniform,100000000,3,1.in,0.53914,18.8969,-1,-1
zdtree,uniform,100000000,3,2.in,0.531655,18.8549,-1,-1
zdtree,uniform,500000000,3,1.in,2.70044,91.4806,-1,-1
zdtree,uniform,500000000,3,2.in,2.70156,92.197,-1,-1
zdtree,uniform_bigint,10000000,3,1.in,0.051657,1.73862,-1,-1
zdtree,uniform_bigint,10000000,3,2.in,0.0527063,1.74137,-1,-1
zdtree,uniform_bigint,50000000,3,1.in,0.263941,8.45213,-1,-1
zdtree,uniform_bigint,50000000,3,2.in,0.266946,8.48433,-1,-1
zdtree,uniform_bigint,100000000,3,1.in,0.534034,18.6723,-1,-1
zdtree,uniform_bigint,100000000,3,2.in,0.529137,18.799,-1,-1
zdtree,uniform_bigint,500000000,3,1.in,2.71448,89.7216,-1,-1
