solver,benchType,nodes,dims,file,buildTime,core
zdtree,ss_varden,10000000,3,1.in,6.10056,1
zdtree,ss_varden,10000000,3,2.in,6.07371,1
zdtree,ss_varden,10000000,3,1.in,0.732794,8
zdtree,ss_varden,10000000,3,2.in,0.736362,8
zdtree,ss_varden,10000000,3,1.in,0.372346,16
zdtree,ss_varden,10000000,3,2.in,0.371732,16
zdtree,ss_varden,10000000,3,1.in,0.251578,24
zdtree,ss_varden,10000000,3,2.in,0.251075,24
zdtree,ss_varden,10000000,3,1.in,0.131204,48
zdtree,ss_varden,10000000,3,2.in,0.131859,48
zdtree,ss_varden,10000000,3,1.in,0.076129,96
zdtree,ss_varden,10000000,3,2.in,0.076033,96
zdtree,ss_varden,50000000,3,1.in,31.2594,1
zdtree,ss_varden,50000000,3,2.in,31.2539,1
zdtree,ss_varden,50000000,3,1.in,3.8127,8
zdtree,ss_varden,50000000,3,2.in,3.81782,8
zdtree,ss_varden,50000000,3,1.in,1.9378,16
zdtree,ss_varden,50000000,3,2.in,1.9429,16
zdtree,ss_varden,50000000,3,1.in,1.30825,24
zdtree,ss_varden,50000000,3,2.in,1.30811,24
zdtree,ss_varden,50000000,3,1.in,0.677495,48
zdtree,ss_varden,50000000,3,2.in,0.679422,48
zdtree,ss_varden,50000000,3,1.in,0.397027,96
zdtree,ss_varden,50000000,3,2.in,0.399491,96
zdtree,ss_varden,100000000,3,1.in,63.5004,1
zdtree,ss_varden,100000000,3,2.in,63.3512,1
zdtree,ss_varden,100000000,3,1.in,7.7199,8
zdtree,ss_varden,100000000,3,2.in,7.70958,8
zdtree,ss_varden,100000000,3,1.in,3.9319,16
zdtree,ss_varden,100000000,3,2.in,3.92679,16
zdtree,ss_varden,100000000,3,1.in,2.65703,24
zdtree,ss_varden,100000000,3,2.in,2.66019,24
zdtree,ss_varden,100000000,3,1.in,1.37757,48
zdtree,ss_varden,100000000,3,2.in,1.38039,48
zdtree,ss_varden,100000000,3,1.in,0.806093,96
zdtree,ss_varden,100000000,3,2.in,0.804837,96
zdtree,ss_varden,500000000,3,1.in,328.413,1
zdtree,ss_varden,500000000,3,2.in,328.914,1
zdtree,ss_varden,500000000,3,1.in,39.995,8
zdtree,ss_varden,500000000,3,2.in,40.1319,8
zdtree,ss_varden,500000000,3,1.in,20.3025,16
zdtree,ss_varden,500000000,3,2.in,20.3798,16
zdtree,ss_varden,500000000,3,1.in,13.7077,24
zdtree,ss_varden,500000000,3,2.in,13.7323,24
zdtree,ss_varden,500000000,3,1.in,7.10463,48
zdtree,ss_varden,500000000,3,2.in,7.11421,48
zdtree,ss_varden,500000000,3,1.in,4.09033,96
zdtree,ss_varden,500000000,3,2.in,4.08459,96
zdtree,uniform,10000000,3,1.in,6.06882,1
zdtree,uniform,10000000,3,2.in,6.11659,1
zdtree,uniform,10000000,3,1.in,0.734629,8
zdtree,uniform,10000000,3,2.in,0.738159,8
zdtree,uniform,10000000,3,1.in,0.374949,16
zdtree,uniform,10000000,3,2.in,0.375077,16
zdtree,uniform,10000000,3,1.in,0.253635,24
zdtree,uniform,10000000,3,2.in,0.259,24
zdtree,uniform,10000000,3,1.in,0.131546,48
zdtree,uniform,10000000,3,2.in,0.130936,48
zdtree,uniform,10000000,3,1.in,0.075891,96
zdtree,uniform,10000000,3,2.in,0.0763453,96
zdtree,uniform,50000000,3,1.in,31.1952,1
zdtree,uniform,50000000,3,2.in,31.3078,1
zdtree,uniform,50000000,3,1.in,3.80263,8
zdtree,uniform,50000000,3,2.in,3.81936,8
zdtree,uniform,50000000,3,1.in,1.93756,16
zdtree,uniform,50000000,3,2.in,1.93789,16
zdtree,uniform,50000000,3,1.in,1.3052,24
zdtree,uniform,50000000,3,2.in,1.30744,24
zdtree,uniform,50000000,3,1.in,0.679285,48
zdtree,uniform,50000000,3,2.in,0.677358,48
zdtree,uniform,50000000,3,1.in,0.404688,96
zdtree,uniform,50000000,3,2.in,0.394819,96
zdtree,uniform,100000000,3,1.in,63.7303,1
zdtree,uniform,100000000,3,2.in,63.7775,1
zdtree,uniform,100000000,3,1.in,7.7494,8
zdtree,uniform,100000000,3,2.in,7.80159,8
zdtree,uniform,100000000,3,1.in,3.95065,16
zdtree,uniform,100000000,3,2.in,3.94911,16
zdtree,uniform,100000000,3,1.in,2.66165,24
zdtree,uniform,100000000,3,2.in,2.65832,24
zdtree,uniform,100000000,3,1.in,1.38355,48
zdtree,uniform,100000000,3,2.in,1.38434,48
zdtree,uniform,100000000,3,1.in,0.801794,96
zdtree,uniform,100000000,3,2.in,0.80056,96
zdtree,uniform,500000000,3,1.in,329.238,1
zdtree,uniform,500000000,3,2.in,331.977,1
zdtree,uniform,500000000,3,1.in,40.2409,8
zdtree,uniform,500000000,3,2.in,40.4704,8
zdtree,uniform,500000000,3,1.in,20.5088,16
zdtree,uniform,500000000,3,2.in,20.5058,16
zdtree,uniform,500000000,3,1.in,13.8187,24
zdtree,uniform,500000000,3,2.in,13.8426,24
zdtree,uniform,500000000,3,1.in,7.14958,48
zdtree,uniform,500000000,3,2.in,7.16374,48
zdtree,uniform,500000000,3,1.in,4.11082,96
zdtree,uniform,500000000,3,2.in,4.11959,96
